Yolo County,California,76075,7.2,5,5.7,6.6,8.7,18.9,10.4,16.7,9.4,11.3,71417,107375,34,CA
Yuba County,California,26827,10.4,4.1,6.5,7.9,12.7,21.1,11.4,14.6,5.9,5.5,58765,74158,30.8,CA
Adams County,Colorado,171977,3.6,2.7,6.1,6.8,11.8,18.4,16.2,18.4,9.4,6.6,75804,91713,40.9,CO
Arapahoe County,Colorado,246302,3.8,1.9,4.2,5.7,11.2,19,13.5,19.3,10.2,11.2,82710,110227,31.6,CO
Boulder County,Colorado,131854,5.8,2.6,5.8,5,9,14.7,13.7,17,10.5,15.9,88535,125894,39.2,CO
Broomfield County,Colorado,28062,1.8,1,2.1,3.8,7.5,13.8,14.8,19.8,16.6,18.9,111400,144139,28.2,CO
Denver County,Colorado,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,32.8,CO
Douglas County,Colorado,127476,1.7,0.8,2.4,4.4,4.7,10.9,13.1,24.4,16.5,21.1,122867,151762,26.8,CO
El Paso County,Colorado,265798,4.4,2.8,6.3,7.3,11.5,19.6,14.7,17.4,8.5,7.6,72830,93351,35.4,CO
Jefferson County,Colorado,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,29.9,CO
Larimer County,Colorado,146638,5,3.2,7.3,6,10.2,18,14.3,16.8,9.6,9.5,75186,98731,31,CO
Mesa County,Colorado,63644,5.7,4.2,7.7,8.1,15.2,21.6,12.5,15,5,4.9,60500,78226,32.9,CO
Pueblo County,Colorado,66111,7.8,6.3,9.9,10.5,14.9,17.5,14.1,12.5,3.8,2.6,51276,66317,42,CO
Weld County,Colorado,111298,3.5,2.9,7,6.4,9.8,17.5,14.3,22.4,9.3,6.8,78615,95567,33.2,CO
Fairfield County,Connecticut,340557,4.2,3.3,6.2,4.8,8.6,13.4,10.3,15.7,10.8,22.8,97053,159703,37.1,CT
Hartford County,Connecticut,353234,6.5,3.7,7,7,9.9,15.7,12.9,17.7,9.4,10.3,75381,101930,36.9,CT
Litchfield County,Connecticut,73969,2.9,3.4,5.7,7,10.1,17.2,12.8,17.9,11.3,11.6,81195,112372,42,CT
Middlesex County,Connecticut,66884,5.5,2.8,7.8,7.5,9.6,16.2,11.1,17.5,11.1,11,76518,100657,28.2,CT
New Haven County,Connecticut,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,39.9,CT
New London County,Connecticut,109752,3.9,2.3,6.8,7.7,11.8,17.3,14.3,18.3,8,9.7,75633,98102,32.7,CT
Tolland County,Connecticut,56749,5.3,2.2,4.7,6.5,8.4,13.7,12.1,22,10.9,14.1,91028,118561,32.6,CT
Windham County,Connecticut,47015,6.8,3.8,8,9.5,13.5,15.1,15.3,15.3,6.8,5.9,62106,80332,37.5,CT
Kent County,Delaware,68023,6,6.2,7.5,7.8,15.6,19.9,12.6,15.7,6.5,2.1,58001,71690,35.3,DE
New Castle County,Delaware,211592,5.7,2.6,6.3,6.3,9.8,18.4,13.9,17.5,9.6,9.8,76328,100948,47.1,DE
Sussex County,Delaware,96624,4.4,4,8.3,8.8,13.9,16.9,13.7,16.9,7.4,5.7,65155,88437,35.5,DE
District of Columbia,District of Columbia,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,135369,29.9,DC
Alachua County,Florida,103024,11.1,4.3,11.3,9.6,14.3,15.3,10.4,13.6,4.1,6.1,49534,73143,27.4,FL
Bay County,Florida,69195,6.6,2.8,7.1,7.8,14.4,22.6,15.7,12.4,6.2,4.2,59450,76106,33.2,FL
Brevard County,Florida,230043,4.2,3.7,9,10.1,16.3,18.6,12.8,13.7,6.4,5.4,57305,78841,39.5,FL
Broward County,Florida,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,88786,36,FL
Charlotte County,Florida,76589,5.2,3.7,13.2,10,14.8,17.5,12.6,13.8,4.8,4.4,54652,74773,34.4,FL
Citrus County,Florida,64448,8.1,5,11.8,11.8,12.4,20.8,12,10.3,4.2,3.4,50751,65270,35.6,FL
Clay County,Florida,75793,3.2,1.7,6.3,6,11.8,19.1,17,19.6,9.4,5.9,76687,93365,40.3,FL
Collier County,Florida,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,121643,36.4,FL
Columbia County,Florida,25240,7.1,4.7,15,10.5,15.4,18.4,9.2,12.3,4.8,2.6,47094,62768,46,FL
Duval County,Florida,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415,79366,42.3,FL
Escambia County,Florida,120618,6.5,4.5,10.7,10.1,15,18.9,11.9,13.9,4.2,4.2,53136,73632,34.1,FL
Flagler County,Florida,44464,3.7,2.9,11.6,10,14.3,19,11.8,15.2,6.8,4.8,60204,79514,46.8,FL
Hernando County,Florida,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,62821,34.7,FL
Highlands County,Florida,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698,65399,38.7,FL
Hillsborough County,Florida,541584,7,3.4,7.9,9.3,12.9,19.3,12.2,14.7,5.5,7.7,61154,84812,37.1,FL
Indian River County,Florida,63917,5.6,3,11,9.7,13.8,17.7,13.3,13.8,5.7,6.3,59782,87627,37.1,FL
Lake County,Florida,139192,4,3.5,8.1,12.8,14,20.2,13.7,14.1,5.9,3.7,57588,75726,27.4,FL
Lee County,Florida,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240,88514,33.3,FL
Leon County,Florida,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,43.1,FL
Manatee County,Florida,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,32.7,FL
Marion County,Florida,145622,6.6,3.8,13.4,9.4,17,21,12.8,9.9,3,3,49576,64731,34.2,FL
Martin County,Florida,65014,4.3,3.5,7.4,9.1,11.7,15.7,14.7,16.1,7.5,10,70842,110379,36.8,FL
Miami-Dade County,Florida,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,38.7,FL
Monroe County,Florida,32839,4.7,3.8,6.6,8.3,10.3,18.9,11.3,18.5,7.5,10.2,68589,106365,53,FL
Nassau County,Florida,35212,4.4,3.2,4.4,10.4,11.1,19.6,15.1,18.1,7.6,6.2,70939,87206,41.8,FL
Okaloosa County,Florida,76097,3.7,2.8,6.6,9.7,14.8,18.6,14.9,16.2,5.5,7.2,64222,85766,30,FL
Orange County,Florida,457949,4.9,3.5,7.6,9,13.9,19.7,13.6,14.7,5.8,7.2,63461,88304,35.8,FL
Osceola County,Florida,111539,5.3,3.8,10.8,9,18.9,21.9,12.3,10.7,4.3,3,51760,68266,44.8,FL
Palm Beach County,Florida,568915,5.2,4.1,8.1,8.4,12.4,16.3,12.2,15.6,6.7,11,66623,101876,42.6,FL
Pasco County,Florida,212856,5.7,4.3,10.2,9.8,15.4,17.8,12.6,14.2,5.2,4.7,55828,73875,30.3,FL
Pinellas County,Florida,395286,6.1,4.1,8.9,9.6,14.5,17.7,13.7,13.4,5.3,6.7,56737,83277,36.9,FL
Polk County,Florida,238629,6.1,4.5,11.4,11.2,14.4,20.5,13.5,11.5,3.6,3.3,51833,67906,46.6,FL
Putnam County,Florida,30866,8.2,4.6,12.4,14.7,16.7,23.5,7.5,8.5,3.1,0.9,42899,54394,43.5,FL
St. Johns County,Florida,94761,2.7,1.5,6,5.9,9.8,15.2,12.8,21.3,8.2,16.4,90356,122115,41.5,FL
St. Lucie County,Florida,116900,4.1,5.5,8.8,11.5,12.6,20.4,13.9,14.6,5.6,2.8,58039,72610,36.7,FL
Santa Rosa County,Florida,66187,4.8,3.5,9.4,10.1,10.8,17.7,15.9,16,5,6.8,64930,83717,32.1,FL
Sarasota County,Florida,187411,3.3,3,8.2,7.8,13.5,19.9,14.6,16.1,5.6,8,66342,94576,44.5,FL
Seminole County,Florida,181142,4.2,2.4,7.1,7.8,13.1,18.7,14.3,15.1,8,9.3,70190,95285,31.9,FL
Sumter County,Florida,59458,4.6,3.9,7.9,11,11.9,22.5,14.6,12,6.5,5.1,60287,83298,33.7,FL
Volusia County,Florida,219451,5.6,5,9.9,12.1,14.2,19.8,13.4,12.1,3.9,4,53766,70972,46.6,FL
Walton County,Florida,26475,5.4,4,7.7,7.1,18.8,15.4,16.6,13.1,5.6,6.4,60457,79647,29.1,FL
Barrow County,Georgia,27765,5.9,3.3,5.5,7.9,10.4,23.3,16.5,18.9,6.2,2.2,69890,77081,33.6,GA
