"zip"|"type"|"state"|"county"|"country"|"latitude"|"longitude"|"irs_estimated_population"
"00917"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.42"|"-66.05"|"0"
"00918"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.42"|"-66.07"|"0"
"00919"|"PO BOX"|"PR"|""|"US"|"18.4"|"-66.06"|"0"
"00920"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.41"|"-66.09"|"0"
"00921"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.39"|"-66.09"|"0"
"00922"|"PO BOX"|"PR"|""|"US"|"18.4"|"-66.06"|"0"
"00923"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.41"|"-66.04"|"0"
"00924"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.4"|"-66.01"|"0"
"00925"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.4"|"-66.05"|"0"
"00926"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.35"|"-66.05"|"0"
"00927"|"STANDARD"|"PR"|"San Juan Municipio"|"US"|"18.4"|"-66.06"|"0"
"00928"|"PO BOX"|"PR"|""|"US"|"18.4"|"-66.06"|"0"
"00929"|"PO BOX"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00930"|"PO BOX"|"PR"|""|"US"|"18.4"|"-66.06"|"0"
"00931"|"PO BOX"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00933"|"PO BOX"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00934"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.41"|"-66.12"|"0"
"00935"|"UNIQUE"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00936"|"PO BOX"|"PR"|"San Juan Municipio"|"US"|"18.4"|"-66.07"|"0"
"00937"|"PO BOX"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00939"|"UNIQUE"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00940"|"PO BOX"|"PR"|""|"US"|"18.4"|"-66.06"|"0"
"00949"|"STANDARD"|"PR"|"Toa Baja Municipio"|"US"|"18.44"|"-66.25"|"0"
"00950"|"PO BOX"|"PR"|"Dorado Municipio"|"US"|"18.46"|"-66.23"|"0"
"00951"|"PO BOX"|"PR"|"Toa Baja Municipio"|"US"|"18.43"|"-66.25"|"0"
"00952"|"STANDARD"|"PR"|"Toa Baja Municipio"|"US"|"18.42"|"-66.19"|"0"
"00953"|"STANDARD"|"PR"|"Toa Alta Municipio"|"US"|"18.39"|"-66.25"|"0"
"00954"|"PO BOX"|"PR"|"Toa Alta"|"US"|"18.39"|"-66.25"|"0"
"00955"|"PO BOX"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00956"|"STANDARD"|"PR"|"Bayamon Municipio"|"US"|"18.32"|"-66.17"|"0"
"00957"|"STANDARD"|"PR"|"Bayamon Municipio"|"US"|"18.37"|"-66.19"|"0"
"00958"|"PO BOX"|"PR"|"Bayamon"|"US"|"18.28"|"-66.13"|"0"
"00959"|"STANDARD"|"PR"|"Bayamon Municipio"|"US"|"18.39"|"-66.15"|"0"
"00960"|"PO BOX"|"PR"|"Bayamon Municipio"|"US"|"18.42"|"-66.15"|"0"
"00961"|"STANDARD"|"PR"|"Bayamon Municipio"|"US"|"18.41"|"-66.17"|"0"
"00962"|"STANDARD"|"PR"|"Catano Municipio"|"US"|"18.44"|"-66.15"|"0"
"00963"|"PO BOX"|"PR"|"Catano"|"US"|"18.43"|"-66.11"|"0"
"00965"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.43"|"-66.11"|"0"
